# time*2*pi	ke	dkedt	ke smag	dkedt smag
10.22	0.070851847	0.011338417	0.069842321	0.010897142
10.24	0.070625128	0.011335965	0.069624339	0.010899102
10.26	0.070398448	0.011334014	0.06940644	0.010894968
10.28	0.070172014	0.011321656	0.069188508	0.010896569
10.3	0.069945859	0.011307788	0.068970362	0.010907329
10.32	0.069719735	0.011306181	0.068752256	0.010905269
10.34	0.069493845	0.011294498	0.068534074	0.01090912
10.36	0.069268273	0.011278594	0.068315694	0.010918998
10.38	0.069042442	0.011291567	0.068097454	0.010911997
10.4	0.068816557	0.011294263	0.067879424	0.010901504
10.42	0.068590801	0.011287799	0.067661203	0.010911065
10.44	0.068365184	0.011280857	0.06744299	0.010910633
10.46	0.068139673	0.011275542	0.067224361	0.010931439
10.48	0.067914469	0.011260177	0.067005369	0.010949617
10.5	0.067689287	0.011259112	0.066786163	0.010960317
10.52	0.0674641	0.011259357	0.066566851	0.010965556
10.54	0.067238905	0.011259735	0.06634761	0.010962074
10.56	0.06701361	0.011264777	0.066128252	0.010967894
10.58	0.06678838	0.011261488	0.065909003	0.010962456
10.6	0.066563418	0.011248111	0.065689988	0.010950726
10.62	0.066338831	0.011229313	0.065471139	0.010942492
10.64	0.066114302	0.011226473	0.065252551	0.010929375
10.66	0.065889854	0.011222379	0.065034064	0.01092436
10.68	0.06566536	0.011224714	0.06481566	0.010920189
10.7	0.065441184	0.011208809	0.064597288	0.010918597
10.72	0.065217499	0.011184268	0.064379153	0.010906764
10.74	0.064994433	0.011153292	0.064161181	0.010898619
10.76	0.06477202	0.011120658	0.063943311	0.01089349
10.78	0.064550137	0.011094119	0.063725656	0.010882719
10.8	0.064328596	0.011077052	0.063508425	0.010861579
10.82	0.06410746	0.011056791	0.063291553	0.010843602
10.84	0.063886973	0.011024344	0.063075055	0.010824879
10.86	0.063667033	0.01099703	0.062859008	0.010802366
10.88	0.063447888	0.010957219	0.062643558	0.010772484
10.9	0.063229592	0.010914825	0.062428739	0.010740951
10.92	0.063012119	0.010873628	0.062214395	0.010717212
10.94	0.062795573	0.010827341	0.062000725	0.010683511
10.96	0.062580422	0.010757536	0.061787661	0.010653208
10.98	0.062366639	0.010689128	0.061575184	0.010623849
11	0.062154118	0.010626059	0.061363317	0.010593354
11.02	0.061942399	0.010585934	0.061152286	0.010551538
11.04	0.061731556	0.010542171	0.060942274	0.010500592
11.06	0.061521608	0.010497407	0.060733345	0.010446429
11.08	0.061312498	0.010455503	0.060525541	0.010390235
11.1	0.061104227	0.010413532	0.060318579	0.010348074
11.12	0.060896778	0.010372474	0.060112533	0.01030229
11.14	0.060690327	0.010322546	0.059907224	0.01026546
11.16	0.060485051	0.010263777	0.059702834	0.010219486
11.18	0.06028077	0.010214061	0.059499231	0.010180158
11.2	0.060077561	0.010160435	0.059296596	0.010131789
11.22	0.059875485	0.010103817	0.059094994	0.010080091
11.24	0.059674371	0.010055717	0.058894568	0.010021312
11.26	0.059474265	0.010005281	0.058695206	0.0099681
11.28	0.059274817	0.009972384	0.05849684	0.009918269
11.3	0.059075958	0.009942955	0.058299345	0.009874761
11.32	0.05887748	0.009923912	0.058102816	0.00982642
11.34	0.058679587	0.009894654	0.057907246	0.009778545
11.36	0.058482835	0.009837623	0.057712536	0.009735484
11.38	0.058287145	0.009784494	0.057518804	0.009686583
11.4	0.058092768	0.009718846	0.057326165	0.009631973
11.42	0.057899485	0.009664162	0.057134616	0.009577421
11.44	0.057706994	0.009624521	0.056944101	0.009525757
11.46	0.057515399	0.009579754	0.056754784	0.009465885
11.48	0.057325048	0.009517557	0.056566588	0.009409795
11.5	0.057135998	0.009452504	0.056379547	0.009352028
11.52	0.056948136	0.009393106	0.056193708	0.009291962
11.54	0.056761606	0.009326481	0.056009132	0.009228804
11.56	0.056576323	0.009264165	0.055825802	0.009166478
11.58	0.056392231	0.009204591	0.055643819	0.009099169
11.6	0.056209518	0.00913565	0.055463191	0.009031407
11.62	0.056028229	0.009064449	0.055283992	0.008959951
11.64	0.055848272	0.00899783	0.055106086	0.008895269
11.66	0.055669701	0.008928564	0.054929513	0.00882866
11.68	0.055492661	0.008851999	0.054754367	0.008757315
11.7	0.055317269	0.008769608	0.054580682	0.008684216
11.72	0.055143305	0.008698208	0.054408381	0.008615094
11.74	0.05497077	0.00862672	0.054237429	0.008547595
11.76	0.054799422	0.008567418	0.054067795	0.008481696
11.78	0.054629277	0.00850727	0.053899559	0.008411784
11.8	0.054460375	0.008445101	0.053732706	0.00834265
11.82	0.054292802	0.008378643	0.053567229	0.008273845
11.84	0.054126449	0.008317639	0.053403028	0.008210041
